"施設名","区","住所","0歳児受入予定","0歳児申込","1歳児受入予定","1歳児申込","2歳児受入予定","2歳児申込","3歳児受入予定","3歳児申込","4歳児受入予定","4歳児申込","5歳児受入予定","5歳児申込"
"認定こども園大谷オアシス保育園","中央区","大通西21",9,11,1,20,0,7,0,6,0,3,0,2
"認定こども園宮の森メープル保育園","中央区","宮の森4-10",3,9,3,12,3,5,2,4,2,3,4,2
"認定こども園札幌大谷幼稚園","中央区","南7西7",5,2,1,5,0,2,0,6,0,1,0,3
"認定こども園幌西そらいろ保育園","中央区","南9西20",9,15,9,33,0,11,0,10,0,7,0,3
"認定こども園札幌ルーテル幼稚園","中央区","南9西21",0,2,7,11,0,0,0,5,0,1,0,0
"認定こども園カトリック聖園こどもの家","中央区","北1東6",6,11,4,32,1,9,0,15,0,5,0,6
"認定こども園桑園幼稚園(R5.4.1開設)","中央区","北7西13",0,6,3,8,4,4,5,5,0,5,7,1
"たかさごスクール大通公園","中央区","大通東2",9,12,10,6,0,0,0,2,5,0,1,0
"札幌認定こども園","中央区","南1東7",6,13,2,9,1,4,2,3,1,0,1,0
"旭ヶ丘保育園","中央区","南13西23",15,8,10,11,9,4,0,2,0,3,0,1
"認定こども園北一条すずらん保育園","中央区","北1東10",6,8,3,15,1,1,0,1,0,0,0,0
"幼稚園型認定こども園大通幼稚園","中央区","大通西16","","","","","","",6,7,1,10,0,5
"認定こども園つぼみ幼稚園","中央区","南7西25","","","","","","",7,10,0,1,0,0
"認定こども園さゆり幼稚園(R5.4.1開設)","中央区","北4西23","","","","","","",6,2,0,5,0,2
"認定こども園マミーポッケ","中央区","南2東1",6,9,6,7,0,0,4,6,5,0,10,0
"伏見保育園","中央区","伏見1",2,4,6,7,2,3,1,1,2,2,2,0
"木育こどもの家 宮の森保育園","中央区","宮の森1-15",6,2,2,4,2,0,3,0,4,1,2,0
"宮の森保育園","中央区","宮の森2-5",7,0,6,0,6,1,0,0,0,0,0,1
"宮の森ライラック保育園","中央区","宮の森3-3",6,10,6,14,0,4,2,7,1,2,0,0
"札幌市大通保育園 / 札幌市大通保育園(夜間部)","中央区","大通東4",6,6,3,6,3,1,0,4,2,1,1,0
"札幌こども保育園","中央区","大通西9",6,13,1,9,1,1,0,3,0,0,0,0
"光塩大通り保育園","中央区","大通西14",3,6,3,12,0,1,9,14,0,1,13,0
"ニチイキッズ大通西18丁目保育園","中央区","大通西18",3,5,3,8,0,3,0,4,0,0,0,0
"ピッコロ子ども倶楽部円山園","中央区","大通西26",3,3,3,6,0,5,2,8,0,0,0,0
"札幌市しせいかん保育園 / 札幌市しせいかん保育園(夜間部)","中央区","南3西7",11,5,5,15,4,3,2,7,2,0,0,1
"NOVAインターナショナルスクール","中央区","南3東2",6,15,8,50,6,28,0,17,3,2,0,1
"さより保育園","中央区","南4西15",5,5,4,4,0,1,2,8,1,0,1,0
"札幌市中央区保育・子育て支援センター / (札幌市あけぼの保育園よりR5.4移転統合 / 予定)","中央区","南7西13",7,4,13,10,16,4,15,11,6,1,7,0
"愛育保育園","中央区","南7西18",9,10,3,13,2,6,0,9,2,1,2,0
"ニチイキッズ南まるやま保育園","中央区","南9西23",3,0,2,3,5,3,5,0,1,2,3,0
"山鼻保育園","中央区","南12西8",14,11,0,22,2,9,0,9,0,7,0,2
"こうさい保育園","中央区","南12西16",12,19,6,17,0,5,2,12,0,5,1,0
"啓明ともいき保育園","中央区","南14西18",8,10,5,14,3,3,2,7,0,3,0,0
"山鼻華園保育園","中央区","南18西11",8,15,4,25,1,7,2,12,0,1,0,1
"山鼻ひまわり保育園","中央区","南19西7",3,8,5,17,0,6,4,12,0,0,0,3
"アートチャイルドケア札幌山鼻","中央区","南19西12",3,6,8,8,5,3,0,4,1,1,1,2
"幌南華園保育園","中央区","南23西10",7,17,7,23,1,9,1,11,0,1,0,6
"札幌時計台雲母保育園","中央区","北1西2",6,13,6,11,0,1,0,1,0,0,0,1
