Index,施設名,lat,lon
1,認定こども園大谷オアシス保育園,43.05740697,141.325024
2,認定こども園宮の森メープル保育園,43.06005921,141.2999068
3,認定こども園札幌大谷幼稚園,43.05104975344607, 141.3484981539393
4,認定こども園幌西そらいろ保育園,43.046447983239986, 141.3273490106426
5,認定こども園札幌ルーテル幼稚園,43.04614530263644, 141.32478340232043
6,認定こども園カトリック聖園こどもの家,43.06475886400898, 141.36462885587017
7,認定こども園桑園幼稚園(R5.4.1開設),43.06797938683167, 141.33487495224765
8,たかさごスクール大通公園,,
9,札幌認定こども園,,
10,旭ヶ丘保育園,,
11,認定こども園北一条すずらん保育園,,
12,幼稚園型認定こども園大通幼稚園,,
13,認定こども園つぼみ幼稚園,,
14,認定こども園さゆり幼稚園(R5.4.1開設),,
15,認定こども園マミーポッケ,,
16,伏見保育園,,
17,木育こどもの家 宮の森保育園,,
18,宮の森保育園,,
19,宮の森ライラック保育園,,
20,札幌市大通保育園 / 札幌市大通保育園(夜間部),,
21,札幌こども保育園,,
22,光塩大通り保育園,,
23,ニチイキッズ大通西18丁目保育園,,
24,ピッコロ子ども倶楽部円山園,,
25,札幌市しせいかん保育園 / 札幌市しせいかん保育園(夜間部),,
26,NOVAインターナショナルスクール,,
27,さより保育園,,
28,札幌市中央区保育・子育て支援センター / (札幌市あけぼの保育園よりR5.4移転統合 / 予定),,
29,愛育保育園,,
30,ニチイキッズ南まるやま保育園,,
31,山鼻保育園,,
32,こうさい保育園,,
33,啓明ともいき保育園,,
34,山鼻華園保育園,,
35,山鼻ひまわり保育園,,
36,アートチャイルドケア札幌山鼻,,
37,幌南華園保育園,,
38,札幌時計台雲母保育園,,
39,にこまるえん円山(R5.4.1開設),,
40,駒鳥保育所,,
41,札幌ハイジ保育園苗穂保育ルーム,,
42,つくしの子共同保育所,,
43,太陽の子札幌中央保育園,,
44,札幌円山公園雲母保育園,,
45,アートチャイルドケア札幌桑園,,
46,救世軍桑園保育所,,
47,円山北町保育園,,
48,ちゃいれっく北7条西保育園,,
49,アスク桑園保育園,,
50,こどもプラザ青い鳥,,
51,吉田学園くりの木保育園,,
52,保育室ぱすてる,,
53,第2ひまわり保育園,,
54,ひまわり保育園,,
55,たからの杜札幌医大前保育園,,
56,札幌モンテッソーリこどもの家,,
57,おーるまいてぃ円山保育室,,
58,ぴっころきっず円山裏参道,,
59,おーるまいてぃ中央保育室,,
60,スター保育園 南2条園,,
61,ぴっころきっず円山公園,,
62,スター保育園西屯田通園,,
63,さら~れ保育園,,
64,ぴっころきっず中島公園,,
65,伏見すみれ保育園,,
66,もりのなかま保育園札幌山鼻園,,
67,保育園こころん,,
68,保育園キッズランド札幌こうさい園,,
69,小規模保育所 夢ふうせん,,
70,山鼻にじのいろ保育園,,
71,S.T.ナーサリーSCHOOL山鼻南,,
72,こどもプラザ青い鳥円山園,,
73,カトリック聖園てんしのおうち,,
74,たからの杜円山保育園,,
75,スクルドエンジェル保育園北円山園,,
76,あいの里大藤幼稚園,,
77,認定こども園あいの里,,
78,認定こども園こころ篠路保育園,,
79,認定こども園サンクパール幼稚園,,
80,しんことに清香こども園,,
81,認定こども園こうほく(0・1・2歳分園含む),,
82,認定こども園はなぞの,,
83,新川西さくらこ認定こども園,,
84,認定こども園太平あずさ保育園,,
85,こども園ソレイユ,,
86,認定こども園ひまわり,,
87,幼保連携型認定こども園茨戸メリー幼稚園,,
88,認定こども園メルシー学院,,
89,認定こども園屯田すずらん保育園,,
90,屯田おおふじ子ども園(0・1歳児分園含む),,
91,認定こども園太陽こころ幼稚園,,
92,創成札幌こども園,,
93,認定こども園麻生明星幼稚園,,
94,あいの里保育園,,
95,認定こども園あいの里せせらぎ保育園,,
96,あかつき篠路保育園,,
97,認定こども園篠路中央保育園,,
98,篠路高洋保育園,,
99,新琴似中央保育園,,
100,三和新琴似保育園,,
101,きずな麻生保育園,,
102,もみの木にいな認定こども園,,
